,field,key,dateExport,historyId,dateCreated,page,fieldtype,from,fromString,to,toString,fieldId,tmpFromAccountId,tmpToAccountId
0,Parent,ECOM-5319,2023-12-26,1208391,2023-12-26T06:47:16.646+0200,0,jira,,,95615,ECOM-4600,,,
0,description,ECOM-5319,2023-12-26,1208672,2023-12-26T09:13:08.926+0200,0,jira,,,,[https://storai.atlassian.net/browse/PD-493|https://storai.atlassian.net/browse/PD-493|smart-link] ,description,,
0,description,ECOM-5319,2023-12-26,1208678,2023-12-26T09:16:18.100+0200,0,jira,,[https://storai.atlassian.net/browse/PD-493|https://storai.atlassian.net/browse/PD-493|smart-link] ,,"[https://storai.atlassian.net/browse/PD-493|https://storai.atlassian.net/browse/PD-493|smart-link] 

[https://storai.atlassian.net/browse/ECOM-5096|https://storai.atlassian.net/browse/ECOM-5096|smart-link] ",description,,
0,timeestimate,ECOM-5319,2023-12-26,1208756,2023-12-26T09:45:17.185+0200,0,jira,,,0,0,timeestimate,,
1,timespent,ECOM-5319,2023-12-26,1208756,2023-12-26T09:45:17.185+0200,0,jira,,,7200,7200,timespent,,
2,WorklogId,ECOM-5319,2023-12-26,1208756,2023-12-26T09:45:17.185+0200,0,jira,,,113732,113732,,,
0,resolution,ECOM-5319,2023-12-26,1208757,2023-12-26T09:45:22.610+0200,0,jira,,,10000,Done,resolution,,
1,status,ECOM-5319,2023-12-26,1208757,2023-12-26T09:45:22.610+0200,0,jira,10000,To Do,10001,Done,status,,
0,Parent,ECOM-5314,2023-12-26,1208097,2023-12-26T04:17:15.327+0200,0,jira,,,96764,ECOM-4910,,,
0,assignee,ECOM-5314,2023-12-26,1208101,2023-12-26T04:18:11.105+0200,0,jira,,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,assignee,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,Parent,ECOM-5313,2023-12-26,1208093,2023-12-26T04:16:29.224+0200,0,jira,,,96764,ECOM-4910,,,
0,assignee,ECOM-5313,2023-12-26,1208100,2023-12-26T04:18:05.102+0200,0,jira,,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,assignee,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,Parent,ECOM-5312,2023-12-26,1208086,2023-12-26T04:15:52.159+0200,0,jira,,,96764,ECOM-4910,,,
0,assignee,ECOM-5312,2023-12-26,1208098,2023-12-26T04:18:03.007+0200,0,jira,,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,assignee,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,status,ECOM-5312,2023-12-26,1209079,2023-12-26T11:18:45.983+0200,0,jira,10000,To Do,3,In Progress,status,,
0,Parent,ECOM-5311,2023-12-26,1208075,2023-12-26T04:09:20.519+0200,0,jira,,,96764,ECOM-4910,,,
0,summary,ECOM-5311,2023-12-26,1208087,2023-12-26T04:16:00.345+0200,0,jira,,[Selfpoint] [Cart] API for get Cart,,[Selfpoint] [Cart] API for get cart,summary,,
0,status,ECOM-5311,2023-12-26,1209078,2023-12-26T11:18:44.129+0200,0,jira,10000,To Do,3,In Progress,status,,
0,timeestimate,ECOM-5311,2023-12-26,1209216,2023-12-26T12:58:04.313+0200,0,jira,,,0,0,timeestimate,,
1,timespent,ECOM-5311,2023-12-26,1209216,2023-12-26T12:58:04.313+0200,0,jira,,,7200,7200,timespent,,
2,WorklogId,ECOM-5311,2023-12-26,1209216,2023-12-26T12:58:04.313+0200,0,jira,,,113751,113751,,,
0,Parent,ECOM-5310,2023-12-26,1208066,2023-12-26T04:06:34.513+0200,0,jira,,,96764,ECOM-4910,,,
0,status,ECOM-5310,2023-12-26,1208103,2023-12-26T04:18:21.101+0200,0,jira,10000,To Do,3,In Progress,status,,
0,timeestimate,ECOM-5310,2023-12-26,1209214,2023-12-26T12:57:37.134+0200,0,jira,,,0,0,timeestimate,,
1,timespent,ECOM-5310,2023-12-26,1209214,2023-12-26T12:57:37.134+0200,0,jira,,,10800,10800,timespent,,
2,WorklogId,ECOM-5310,2023-12-26,1209214,2023-12-26T12:57:37.134+0200,0,jira,,,113750,113750,,,
0,Parent,ECOM-5309,2023-12-26,1208063,2023-12-26T04:05:58.717+0200,0,jira,,,96764,ECOM-4910,,,
0,status,ECOM-5309,2023-12-26,1208102,2023-12-26T04:18:19.194+0200,0,jira,10000,To Do,3,In Progress,status,,
0,Parent,ECOM-5308,2023-12-26,1208058,2023-12-26T04:05:02.358+0200,0,jira,,,96764,ECOM-4910,,,
0,status,ECOM-5308,2023-12-26,1208059,2023-12-26T04:05:02.419+0200,0,jira,10000,To Do,3,In Progress,status,,
0,timeestimate,ECOM-5308,2023-12-26,1209217,2023-12-26T12:58:41.328+0200,0,jira,,,0,0,timeestimate,,
1,timespent,ECOM-5308,2023-12-26,1209217,2023-12-26T12:58:41.328+0200,0,jira,,,7200,7200,timespent,,
2,WorklogId,ECOM-5308,2023-12-26,1209217,2023-12-26T12:58:41.328+0200,0,jira,,,113752,113752,,,
0,IssueParentAssociation,ECOM-5296,2023-12-26,1205041,2023-12-25T12:08:26.242+0200,0,jira,,,97973,ECOM-5174,,,
0,Parent,ECOM-5296,2023-12-26,1205042,2023-12-25T12:08:26.308+0200,0,jira,,,97973,ECOM-5174,,,
0,status,ECOM-5296,2023-12-26,1208029,2023-12-26T03:43:12.425+0200,0,jira,10000,To Do,10027,Rejected,status,,
0,Parent,ECOM-5292,2023-12-26,1204576,2023-12-25T09:25:59.908+0200,0,jira,,,97973,ECOM-5174,,,
0,description,ECOM-5292,2023-12-26,1204584,2023-12-25T09:28:35.155+0200,0,jira,,,,"Dear [~accountid:640f14cd67102fc717becde7] ,Currently, the NIS icon and number are display outside padding of progress bar.  Could you please confirm the design of these below displays are correct or not. If they are the bug, please provide design so dev have to fix it.

!image-20231225-072233.png|width=505,height=714!

!image-20231225-072332.png|width=449,height=715!

Step to reporoduce:

# Go to back office

{noformat}http://localhost:3000/backend/?domain=storewisetest.sites.self-point.com#!/loyaltyClubs/loyaltyDriversConfiguration{noformat}

# Go to Loyalty Clubs → loyalty page design
# Select non-loyalty members
# Enable “Points to cashback calculator”
# Enable Monthly spending -textual desciption
# From web mobile mode, login non-loyaty user

*Actual result:*

On web mobile mode, monthly section, there are some above issues.",description,,
0,assignee,ECOM-5292,2023-12-26,1204585,2023-12-25T09:28:38.444+0200,0,jira,,,640f14cd67102fc717becde7,Or Groer,assignee,,640f14cd67102fc717becde7
0,description,ECOM-5292,2023-12-26,1204586,2023-12-25T09:29:00.182+0200,0,jira,,"Dear [~accountid:640f14cd67102fc717becde7] ,Currently, the NIS icon and number are display outside padding of progress bar.  Could you please confirm the design of these below displays are correct or not. If they are the bug, please provide design so dev have to fix it.

!image-20231225-072233.png|width=505,height=714!

!image-20231225-072332.png|width=449,height=715!

Step to reporoduce:

# Go to back office

{noformat}http://localhost:3000/backend/?domain=storewisetest.sites.self-point.com#!/loyaltyClubs/loyaltyDriversConfiguration{noformat}

# Go to Loyalty Clubs → loyalty page design
# Select non-loyalty members
# Enable “Points to cashback calculator”
# Enable Monthly spending -textual desciption
# From web mobile mode, login non-loyaty user

*Actual result:*

On web mobile mode, monthly section, there are some above issues.",,"Dear [~accountid:640f14cd67102fc717becde7] ,Currently, the NIS icon and number are display outside padding of progress bar.  Could you please confirm the design of these below displays are correct or not. If they are the bug, please provide design so dev have to fix it.

!image-20231225-072233.png|width=505,height=714!

!image-20231225-072332.png|width=449,height=715!

Step to reporoduce:

# Go to back office

{noformat}http://localhost:3000/backend/?domain=storewisetest.sites.self-point.com#!/loyaltyClubs/loyaltyDriversConfiguration{noformat}

# Go to Loyalty Clubs → loyalty page design
# Select non-loyalty members
# Enable “Points to cashback calculator”
# Enable Monthly spending -textual desciption
# From web mobile mode, login non-loyaty user

*Actual result:*

On web mobile mode, monthly section, there are some above issues.



CC: [~accountid:712020:ef61458f-a61f-4447-b461-cb37078f1a38] [~accountid:712020:ac60f76c-33de-4954-aaac-e67fee70cdea] ",description,,
0,assignee,ECOM-5292,2023-12-26,1205449,2023-12-25T17:55:12.813+0200,0,jira,640f14cd67102fc717becde7,Or Groer,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,assignee,640f14cd67102fc717becde7,712020:e076303b-e72c-415b-a842-48b51f0d58db
0,assignee,ECOM-5292,2023-12-26,1208187,2023-12-26T05:03:50.379+0200,0,jira,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,557058:1e72f607-6d91-487f-aa26-1828110a21b1,mushka gorowitz,assignee,712020:e076303b-e72c-415b-a842-48b51f0d58db,557058:1e72f607-6d91-487f-aa26-1828110a21b1
0,assignee,ECOM-5292,2023-12-26,1208615,2023-12-26T08:53:39.035+0200,0,jira,557058:1e72f607-6d91-487f-aa26-1828110a21b1,mushka gorowitz,712020:c71dd805-542c-4942-9d09-905911569b6e,Anh Tran,assignee,557058:1e72f607-6d91-487f-aa26-1828110a21b1,712020:c71dd805-542c-4942-9d09-905911569b6e
