,field,key,dateExport,historyId,dateCreated,page,fieldtype,fieldId,from,fromString,to,toString,tmpFromAccountId,tmpToAccountId
0,description,PAZS-1,2023-12-27,1104639,2023-09-27T16:55:16.520+0300,0,jira,description,,,,Link to the SOW document: [SOW v4 - PAZ Scan & Go_Yaron.docx|https://storai.sharepoint.com/:w:/s/OfficeFinance/EQe6BICoeFFLt-NbJ-v7yc8BaMlwkcnpXUUqiXxCifnMPg?e=ivqY2p],,
0,Link,PAZS-1,2023-12-27,1104722,2023-09-28T01:17:47.272+0300,0,jira,,,,PRTNS-240,This issue added to idea PRTNS-240,,
0,assignee,PAZS-1,2023-12-27,1109804,2023-10-04T05:28:38.871+0300,0,jira,assignee,63e46fecdb4f715c9724a1c8,Alex Nguyen,6391ab79213a315af34bb01b,Hiep Nguyen,63e46fecdb4f715c9724a1c8,6391ab79213a315af34bb01b
0,Link,PAZS-1,2023-12-27,1110740,2023-10-05T03:31:10.940+0300,0,jira,,,,WCW-22,This issue relates to WCW-22,,
0,timeestimate,PAZS-1,2023-12-27,1113592,2023-10-09T14:16:16.611+0300,0,jira,timeestimate,,,0,0,,
1,timespent,PAZS-1,2023-12-27,1113592,2023-10-09T14:16:16.611+0300,0,jira,timespent,,,10800,10800,,
2,WorklogId,PAZS-1,2023-12-27,1113592,2023-10-09T14:16:16.611+0300,0,jira,,,,109894,109894,,
0,assignee,PAZS-1,2023-12-27,1115195,2023-10-11T07:59:41.552+0300,0,jira,assignee,6391ab79213a315af34bb01b,Hiep Nguyen,60b47c42bbe237006ad2b6d7,Yaron Azachi,6391ab79213a315af34bb01b,60b47c42bbe237006ad2b6d7
0,description,PAZS-1,2023-12-27,1116207,2023-10-12T07:06:37.356+0300,0,jira,description,,Link to the SOW document: [SOW v4 - PAZ Scan & Go_Yaron.docx|https://storai.sharepoint.com/:w:/s/OfficeFinance/EQe6BICoeFFLt-NbJ-v7yc8BaMlwkcnpXUUqiXxCifnMPg?e=ivqY2p],,Link to the SOW document: [SOW - PAZ Scan & Go.docx|https://storai.sharepoint.com/:w:/s/OfficeFinance/EfvZysy0uTBMpQeGeey82w8BmJ0oz93xpARXDvpA8JTKLQ?e=um913Y],,
0,labels,PAZS-1,2023-12-27,1182121,2023-12-06T06:55:07.489+0200,0,jira,labels,,,,Q4_2023_Dragon,,
0,Epic Child,PAZS-1,2023-12-27,1185239,2023-12-08T09:01:19.085+0200,0,custom,,,,97083,PAZS-2,,
0,Epic Child,PAZS-1,2023-12-27,1185242,2023-12-08T09:01:26.824+0200,0,custom,,,,97084,PAZS-3,,
0,labels,PAZS-1,2023-12-27,1185520,2023-12-08T11:00:21.682+0200,0,jira,labels,,Q4_2023_Dragon,,An_DragonS27 Q4_2023_Dragon,,
0,RemoteIssueLink,PAZS-1,2023-12-27,1187531,2023-12-11T11:08:49.335+0200,0,jira,,,,18628,"This issue links to ""Page (Confluence)""",,
